" ","EUR 1","RUB 1","USD 1"
"01.01.2000","478.46","19.78","553.13"
"02.01.2000","472.22","19.7","552.04"
"03.01.2000","531.21","19.04","523.77"
"04.01.2000","531.21","19.04","523.77"
"05.01.2000","532.88","18.84","528.13"
"06.01.2000","489.77","19.78","555.93"
"07.01.2000","544.24","18.84","528.13"
"08.01.2000","490.38","19.78","555.48"
"09.01.2000","479.76","20.18","560.53"
"10.01.2000","548.62","18.84","528.13"
"11.01.2000","540.4","18.36","525.48"
"12.01.2000","537.51","18.36","525.48"
"13.01.2000","538.93","18.36","525.48"
"14.01.2000","541.89","18.04","525.7"
"15.01.2000","486.06","19.78","555.62"
"16.01.2000","476.95","20.18","555.69"
"17.01.2000","540.21","18.04","525.7"
"18.01.2000","536.35","18.04","524.55"
"19.01.2000","529.48","18.04","524.55"
"20.01.2000","529.43","18.04","524.55"
"21.01.2000","530.06","18.04","524.55"
"22.01.2000","502.85","19.78","555.08"
"23.01.2000","470.62","19.89","555.37"
"24.01.2000","534.48","18.04","528.93"
"25.01.2000","534.06","18.04","528.93"
"26.01.2000","530.36","18.04","528.93"
"27.01.2000","531.34","18.04","530.92"
"28.01.2000","530.03","18.04","529.02"
"29.01.2000","511.49","19.55","550.52"
"30.01.2000","513.8","19.68","552.18"
"31.01.2000","527.75","18.04","529.02"
"01.02.2000","520.42","18.04","528.45"
"02.02.2000","517.41","18.04","528.45"
"03.02.2000","513.13","18.04","528.45"
"04.02.2000","513.49","18.04","528.45"
"07.02.2000","514.88","18.04","528.19"
"08.02.2000","518.74","18.04","527.44"
"09.02.2000","514.88","18.04","527.16"
"10.02.2000","521.56","18.04","526.67"
"11.02.2000","523.66","18.04","527.14"
"14.02.2000","516.65","18.04","527.14"
"15.02.2000","516.65","18.04","527.14"
"16.02.2000","520.13","18.04","527.14"
"17.02.2000","516.06","18.04","527.78"
"18.02.2000","517.44","18.04","527.78"
"21.02.2000","523.51","18.04","527.78"
"22.02.2000","520.54","18.04","528.09"
"23.02.2000","520.54","18.04","528.09"
"24.02.2000","529.54","18.04","528.38"
"25.02.2000","532.38","18.04","528.78"
"28.02.2000","523.39","18.04","528.78"
"29.02.2000","517.97","18.47","527.84"
"01.03.2000","508.52","18.34","527.56"
"02.03.2000","512.05","18.19","527.13"
"03.03.2000","509.19","18.44","526.73"
"06.03.2000","511.07","18.38","525.52"
"07.03.2000","507.6","18.23","525.52"
"08.03.2000","507.6","18.23","525.52"
"09.03.2000","504.68","18.23","526.09"
"10.03.2000","503.42","18.23","527.53"
"13.03.2000","507.27","18.23","527.53"
"14.03.2000","507.5","18.23","527.93"
"15.03.2000","512.94","18.23","527.93"
"16.03.2000","508.54","18.23","528.63"
"17.03.2000","509.97","18.23","528.63"
"20.03.2000","510.82","18.23","528.63"
"21.03.2000","510.79","18.23","528.11"
"22.03.2000","513.06","18.23","528.11"
"23.03.2000","512.32","18.23","528.11"
"24.03.2000","506.92","18.23","527.88"
"27.03.2000","506.92","18.23","527.88"
"28.03.2000","507.01","18.23","527.97"
"29.03.2000","512.41","18.23","527.61"
"30.03.2000","508.99","18.23","527.61"
"31.03.2000","504.82","18.23","527.61"
"03.04.2000","504.13","18.23","527.61"
"04.04.2000","504.72","18.23","528.34"
"05.04.2000","506.37","18.4","529.45"
"06.04.2000","504.99","18.4","529.45"
"10.04.2000","506.37","18.4","529.45"
"11.04.2000","507.34","18.5","530.47"
"12.04.2000","509.57","18.5","531.36"
"13.04.2000","509.79","18.5","531.36"
"14.04.2000","509.92","18.5","532.5"
"17.04.2000","507.85","18.5","532.5"
"18.04.2000","507.91","18.55","532.4"
"19.04.2000","505.62","18.55","532.4"
"20.04.2000","505.57","18.55","532.35"
"21.04.2000","503.47","18.55","532.15"
"25.04.2000","498.66","18.55","531.85"
"26.04.2000","497.9","18.55","531.04"
"27.04.2000","493.68","18.6","530.72"
"28.04.2000","487.89","18.6","530.72"
"29.04.2000","486.3","18.66","530.72"
"01.05.2000","482.16","18.7","530.72"
"02.05.2000","481.99","18.7","530.53"
"03.05.2000","481.99","18.7","530.53"
"04.05.2000","484.15","18.7","531.1"
"05.05.2000","473.37","18.7","531.1"
"06.05.2000","475.38","18.7","531.33"
"10.05.2000","478.17","18.7","532.25"
"11.05.2000","479.19","18.7","533.74"
"12.05.2000","485.37","18.84","534.61"
"15.05.2000","485.3","18.9","534.53"
"16.05.2000","482.77","18.9","534.69"
"17.05.2000","488.99","18.8","534.59"
"18.05.2000","485.87","18.8","535.98"
"19.05.2000","478.32","18.8","536.11"
"22.05.2000","479.59","18.8","536.33"
"23.05.2000","475.99","18.8","536.33"
"24.05.2000","482.32","18.8","535.91"
"25.05.2000","488.12","18.8","535.75"
"26.05.2000","487.43","18.84","535.75"
"29.05.2000","481.43","18.9","536.05"
"30.05.2000","490.57","18.9","536.55"
"31.05.2000","496.95","18.9","536.55"
"01.06.2000","502.22","18.9","536.62"
"02.06.2000","499.98","18.9","537.44"
"05.06.2000","501.76","18.9","537.79"
"06.06.2000","503.99","18.9","538.74"
"07.06.2000","509.59","18.9","540.22"
"08.06.2000","512.64","18.9","540.47"
"09.06.2000","523.13","18.9","541.39"
"12.06.2000","523.42","18.9","541.39"
"13.06.2000","514.78","18.9","542.44"
"14.06.2000","518.21","18.9","543.94"
"15.06.2000","522.37","18.9","545.1"
"16.06.2000","525.74","19","545.6"
"19.06.2000","519.63","19","545.6"
"20.06.2000","522.34","19.4","546.1"
"21.06.2000","527.45","19.4","547.15"
"22.06.2000","521.87","19.4","547.15"
"23.06.2000","518.15","19.4","547.15"
"26.06.2000","514.43","19.4","546.98"
"27.06.2000","514.87","19.5","546.98"
"28.06.2000","510.3","19.4","547.12"
"29.06.2000","514.35","19.4","547.12"
"30.06.2000","515.84","19.4","547.89"
"03.07.2000","520.75","19.4","547.93"
"04.07.2000","524.18","19.4","548.53"
"06.07.2000","520.72","19.4","548.53"
"07.07.2000","523.13","19.4","548.53"
"10.07.2000","522.93","19.4","548.03"
"11.07.2000","519.7","19.4","548.03"
"12.07.2000","522.08","19.45","548.23"
"13.07.2000","522.3","19.68","548.23"
"14.07.2000","520.92","19.68","548.39"
"17.07.2000","512.89","19.68","548.6"
"18.07.2000","512.28","19.68","548.25"
"19.07.2000","512.51","19.68","548.02"
"20.07.2000","513.04","19.68","548.53"
"21.07.2000","505.53","19.68","548.53"
"24.07.2000","505.74","19.68","548.53"
"25.07.2000","513.33","19.68","548.25"
"26.07.2000","511.63","19.68","548.25"
"27.07.2000","515.24","19.68","547.55"
"28.07.2000","514.15","19.68","547.55"
"31.07.2000","512.4","19.68","545.75"
"01.08.2000","505.54","19.59","545"
"02.08.2000","502.68","19.59","543.85"
"03.08.2000","503.82","19.59","543.85"
"04.08.2000","495.98","19.35","542.53"
"07.08.2000","487.47","19.35","539.95"
"08.08.2000","485.87","19.35","538"
"09.08.2000","487.81","19.35","537"
"10.08.2000","485.82","19.37","537"
"11.08.2000","481.85","19.37","537"
"14.08.2000","484.96","19.37","537"
"15.08.2000","487.81","19.37","537"
"16.08.2000","485.34","19.42","538.61"
"17.08.2000","491.68","19.48","539.24"
"18.08.2000","490.43","19.48","540.6"
"21.08.2000","494.74","19.52","541.29"
"22.08.2000","494.5","19.55","541.8"
"23.08.2000","488.47","19.55","541.36"
"24.08.2000","486.19","19.57","541.9"
"25.08.2000","483.12","19.57","541.74"
"28.08.2000","488.59","19.57","542.16"
"29.08.2000","489.08","19.57","542.16"
"30.08.2000","488.14","19.4","541.96"
"31.08.2000","484.26","19.4","540.17"
"01.09.2000","479.94","19.35","538.71"
"04.09.2000","479.07","19.35","537.92"
"05.09.2000","480.03","19.35","539.24"
"06.09.2000","485.71","19.35","539.68"
"07.09.2000","480.02","19.35","540.2"
"08.09.2000","477.87","19.44","541.92"
"11.09.2000","471.56","19.44","543.52"
"12.09.2000","474.76","19.44","543.52"
"13.09.2000","467.74","19.44","543.32"
"14.09.2000","467.09","19.5","542.24"
"15.09.2000","467.9","19.5","540.67"
"18.09.2000","469.27","19.5","539.82"
"19.09.2000","464.58","19.5","539.27"
"20.09.2000","459.47","19.4","538.9"
"22.09.2000","460.05","19.4","538.64"
"25.09.2000","459.02","19.3","538.5"
"26.09.2000","479.3","19.3","539.15"
"27.09.2000","472.54","19.3","538.81"
"28.09.2000","471.14","19.3","538.02"
"29.09.2000","476","19.3","537.18"
"30.09.2000","470.17","19.3","536.42"
"02.10.2000","469.75","19.3","535.94"
"03.10.2000","470.51","19.4","536.8"
"04.10.2000","472.11","19.4","536.37"
"05.10.2000","470.26","19.4","536.64"
"06.10.2000","470","19.4","538.37"
"09.10.2000","473.55","19.4","538.98"
"10.10.2000","470.02","19.4","540.07"
"11.10.2000","470.13","19.4","540.69"
"12.10.2000","471.82","19.4","541.02"
"13.10.2000","476.24","19.4","546.15"
"16.10.2000","473.21","19.55","547.19"
"17.10.2000","472.42","19.55","547.61"
"18.10.2000","466.07","19.55","547.61"
"19.10.2000","465.97","19.55","548.46"
"20.10.2000","467.56","19.55","548.46"
"23.10.2000","461.86","19.55","549.12"
"24.10.2000","464.62","19.55","549.72"
"25.10.2000","460.5","19.55","549.72"
"26.10.2000","461.58","19.55","550.42"
"27.10.2000","457.85","19.55","551.16"
"28.10.2000","454.86","19.55","551.21"
"30.10.2000","458.83","19.55","551.21"
"31.10.2000","459.01","19.55","551.43"
"01.11.2000","467.89","19.55","551.63"
"02.11.2000","472.22","19.7","552.04"
"03.11.2000","477.74","19.8","552.56"
"06.11.2000","478.37","19.8","553.28"
"07.11.2000","483.9","19.92","554.29"
"08.11.2000","483.99","19.92","558.43"
"09.11.2000","479.76","20.18","560.53"
"10.11.2000","478.74","20.18","559.34"
"13.11.2000","475.54","20.18","557.43"
"14.11.2000","483.39","20.07","557.35"
"15.11.2000","479.99","20.18","556.83"
"16.11.2000","476.95","20.18","555.69"
"17.11.2000","477.61","20.02","555.62"
"20.11.2000","476.2","19.89","555.72"
"21.11.2000","474.31","19.89","555.72"
"22.11.2000","471.7","19.89","555.72"
"23.11.2000","470.62","19.89","555.37"
"24.11.2000","468.12","19.89","555.37"
"27.11.2000","468.01","19.89","555.37"
"28.11.2000","467.24","19.89","553.87"
"29.11.2000","465.67","19.89","553.97"
"30.11.2000","474.25","19.89","553.97"
"01.12.2000","478.46","19.78","553.13"
"04.12.2000","480.34","19.78","553.13"
"05.12.2000","493.98","19.78","554.53"
"06.12.2000","489.77","19.78","555.93"
"07.12.2000","489.77","19.78","555.93"
"08.12.2000","490.38","19.78","555.48"
"11.12.2000","497.06","19.78","555.81"
"12.12.2000","495.05","19.78","556.55"
"13.12.2000","489.26","19.78","557.12"
"14.12.2000","488.69","19.78","556.47"
"15.12.2000","486.06","19.78","555.62"
"18.12.2000","491.11","19.78","555.62"
"19.12.2000","498.84","19.78","555.25"
"20.12.2000","497.84","19.78","555.25"
"21.12.2000","502.85","19.84","555.08"
"22.12.2000","502.85","19.78","555.08"
"25.12.2000","511.84","19.78","553.94"
"26.12.2000","511.84","19.78","553.94"
"27.12.2000","509.92","19.68","551.86"
"28.12.2000","509.92","19.68","551.86"
"29.12.2000","511.49","19.55","550.52"
"30.12.2000","513.8","19.68","552.18"
"31.12.2000","513.8","19.55","552.18"
"03.01.2001","513.8","19.55","552.18"
"04.01.2001","520.87","19.55","552.18"
"05.01.2001","523.69","19.55","553.7"
"08.01.2001","522.7","19.4","552.65"
"09.01.2001","522.49","19.31","550.16"
"10.01.2001","522.32","19.31","549.98"
"11.01.2001","517.68","19.31","550.67"
"12.01.2001","519.18","19.31","551.61"
"15.01.2001","528.93","19.31","554.14"
"16.01.2001","524.48","19.31","556.3"
"17.01.2001","521.83","19.31","554.43"
"18.01.2001","521.64","19.31","555.17"
"19.01.2001","521.52","19.31","554.57"
"22.01.2001","519.97","19.39","553.16"
"23.01.2001","520.44","19.39","553.66"
"24.01.2001","514.55","19.39","553.88"
"25.01.2001","513.57","19.39","552.58"
"26.01.2001","508.13","19.39","555.58"
"29.01.2001","508.3","19.39","555.76"
"30.01.2001","512.6","19.39","555.48"
"31.01.2001","509.56","19.43","554.29"
"01.02.2001","509.78","19.43","554.29"
"02.02.2001","520.85","19.43","553.74"
"05.02.2001","520.9","19.43","553.74"
"06.02.2001","521.57","19.43","553.39"
"07.02.2001","515.38","19.43","552.86"
"08.02.2001","514.93","19.43","552.2"
"09.02.2001","509.29","19.36","552.37"
"12.02.2001","509.97","19.32","552.69"
"13.02.2001","513.18","19.32","552.52"
"14.02.2001","512.16","19.32","552.19"
"15.02.2001","506.67","19.32","552.05"
"16.02.2001","501.81","19.32","552.05"
"19.02.2001","503.08","19.26","552.05"
"20.02.2001","503.08","19.26","552.05"
"21.02.2001","508.41","19.26","551.84"
"22.02.2001","504.98","19.22","551.65"
"23.02.2001","504.54","19.28","551.65"
"26.02.2001","499.7","19.23","551.79"
"27.02.2001","498.54","19.12","550.02"
"28.02.2001","497.02","19.12","548.35"
"01.03.2001","494.84","19.08","545.94"
"02.03.2001","504.82","18.95","544.63"
"05.03.2001","507.31","18.95","541.82"
"06.03.2001","507.31","18.9","541.82"
"07.03.2001","507.51","18.9","542.04"
"09.03.2001","507.99","18.9","542.55"
"12.03.2001","509.19","18.85","543.83"
"13.03.2001","511.17","18.85","545.95"
"14.03.2001","509.27","18.9","549.26"
